GEOLOC,EA70000002,has no zone,"1937461 ; 7162448"
GEOLOC,EA90000002,has no zone,"1989029 ; 7168420"
GEOLOC,EA90000003,has no zone,"1988772 ; 7169017"
GEOLOC,EA90000004,has no zone,"1988088 ; 7167379"
GEOLOC,EA22000003,has no zone,"1225580 ; 7301824"
GEOLOC,EA22000005,has no zone,"1216862 ; 7306774"
GEOLOC,EA22000006,has no zone,"1275410 ; 7273142"
GEOLOC,EA29000001,has no zone,"1147028 ; 7269904"
GEOLOC,EA29000002,has no zone,"1144695 ; 7270367"
GEOLOC,EA29000003,has no zone,"1146175 ; 7270101"
GEOLOC,EA29000004,has no zone,"1143587 ; 7252725"
GEOLOC,EA29000009,has no zone,"1170875 ; 7223850"
GEOLOC,EA29000010,has no zone,"1209276 ; 7206698"
GEOLOC,EA35000001,has no zone,"1346027 ; 7213594"
GEOLOC,EA35000002,has no zone,"1327269 ; 7283356"
GEOLOC,EA35000004,has no zone,"1318339 ; 7173759"
GEOLOC,EA35000005,has no zone,"1352584 ; 7221081"
GEOLOC,EA35000006,has no zone,"1351459 ; 7222105"
GEOLOC,EA35000007,has no zone,"1351911 ; 7223332"
GEOLOC,EA35000008,has no zone,"1352793 ; 7222991"
GEOLOC,EA35000009,has no zone,"1351768 ; 7222512"
GEOLOC,EA35000010,has no zone,"1352119 ; 7223028"
GEOLOC,EA35000011,has no zone,"1351900 ; 7222651"
GEOLOC,EA35000012,has no zone,"13508651 ; 7222775"
GEOLOC,EA35000013,has no zone,"1352199 ; 7222617"
GEOLOC,EA35000014,has no zone,"1352201 ; 7222710"
GEOLOC,EA35000015,has no zone,"1352201 ; 7222710"
GEOLOC,EA35000016,has no zone,"1352059 ; 7223699"
GEOLOC,EA35000017,has no zone,"1352059 ; 7223699"
GEOLOC,EA35000018,has no zone,"1323451 ; 7283526"
GEOLOC,EA35000019,has no zone,"1323442 ; 7283784"
GEOLOC,EA35000020,has no zone,"1314186 ; 7234081"
GEOLOC,EA56000001,has no zone,"1225612 ; 7198495"
GEOLOC,EA56000002,has no zone,"1251614 ; 7229165"
GEOLOC,EA56000003,has no zone,"1251614 ; 7229165"
GEOLOC,EA56000006,has no zone,"1222969 ; 7191034"
GEOLOC,EA56000007,has no zone,"1223307 ; 7192125"
GEOLOC,EA56000008,has no zone,"1223277 ; 7191822"
GEOLOC,EA56000009,has no zone,"1223564 ; 7191770"
GEOLOC,EA56000010,has no zone,"1222804 ; 7192113"
GEOLOC,EA56000011,has no zone,"1267530 ; 7177789"
GEOLOC,EA56000012,has no zone,"1268113 ; 7179521"
GEOLOC,EA14000001,has no zone,"1429465 ; 8218342"
GEOLOC,EA14000002,has no zone,"1429465 ; 8218342"
GEOLOC,EA14000003,has no zone,"1453033 ; 8226213"
GEOLOC,EA14000004,has no zone,"1487103 ; 8244197"
GEOLOC,EA14000005,has no zone,"1487522 ; 8244014"
GEOLOC,EA14000007,has no zone,"1457174 ; 8227845"
GEOLOC,EA14000008,has no zone,"1497315 ; 8219647"
GEOLOC,EA14000009,has no zone,"1500459 ; 8219774"
GEOLOC,EA14000010,has no zone,"1439645 ; 8219679"
GEOLOC,EA14000011,has no zone,"1467787 ; 8223601"
GEOLOC,EA14000012,has no zone,"1433042 ; 8215383"
GEOLOC,EA50000001,has no zone,"1363920 ; 8215520"
GEOLOC,EA50000002,has no zone,"1400667 ; 8229615"
GEOLOC,EA50000003,has no zone,"1392499 ; 8222765"
GEOLOC,EA50000004,has no zone,"1366157 ; 8281586"
GEOLOC,EA50000005,has no zone,"1366094 ; 8281648"
GEOLOC,EA50000006,has no zone,"1365440 ; 8281503"
GEOLOC,EA50000007,has no zone,"1366047 ; 8281413"
GEOLOC,EA50000008,has no zone,"1366114 ; 8281176"
GEOLOC,EA50000009,has no zone,"1366189 ; 8281137"
GEOLOC,EA50000010,has no zone,"1375238 ; 8214894"
GEOLOC,EA50000012,has no zone,"1362824 ; 8192258"
GEOLOC,EA50000014,has no zone,"1368948 ; 8208656"
GEOLOC,EA50000015,has no zone,"1368948 ; 8208656"
GEOLOC,EA50000016,has no zone,"1393232 ; 8215965"
GEOLOC,EA50000017,has no zone,"1383631 ; 8233262"
GEOLOC,EA50000018,has no zone,"1382810 ; 8207809"
GEOLOC,EA50000019,has no zone,"1403996 ; 8225364"
GEOLOC,EA61000001,has no zone,"1485371 ; 8139306"
GEOLOC,EA61000002,has no zone,"1484860 ; 8140899"
GEOLOC,EA61000003,has no zone,"1484565 ; 8142777"
GEOLOC,EA61000004,has no zone,"1478216 ; 8175902"
